Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Los Cucos Mexican Cafe
                                    ", 4775 West Panther Creek Drive 77381,97 votes,4,Cost for two:$75,-95.5039847,30.1679385,Mexican,Houston
"Casarez Mexican
                                    "," 887 Meadowbrook Drive, Houston 77034",8 votes,3.5,Cost for two:$25,-95.2623893,29.6745943,Mexican,Houston
"Pollos Asados El Regio
                                    "," 61 Tidwell Rd, Houston 77022",6 votes,3.8,Cost for two:$25,-95.3788344,29.8458122,Mexican,Houston
"Noyola's Mexican
                                    "," 242 1st Street W, Humble 77338",9 votes,3.4,Cost for two:$25,-95.264736,29.999113,Mexican,Houston
"Juan Big Burritos
                                    "," 176 Gulf Fwy S, League City 77573",9 votes,3.5,Cost for two:$25,-95.1108647,29.5032439,Mexican,Houston
"La Victoria Bakery
                                    "," 7138 Lawndale St, Houston 77023",6 votes,3.6,Cost for two:$25,-95.2926504,29.7171088,Mexican,Houston
"Brenda's Taqueria
                                    "," 3766 S Gessner Road, Houston 77063",9 votes,3.4,Cost for two:$25,-95.5395963,29.72302,Mexican,Houston
"El Chinampa
                                    "," 15634 Wallisville Rd. Suite 400, Houston 77049",9 votes,3.2,Cost for two:$75,-95.1594574,29.8093257,Mexican,Houston
"Charro Potato
                                    "," 8423 Cinnamon Run, Spring 77389",10 votes,3.5,Cost for two:$25,-95.5488391,30.1519097,Mexican,Houston
"Enchiluda's Mexican Café
                                    "," 14025 Westheimer Road, Houston 77077",5 votes,3.3,Cost for two:$25,-95.6373733,29.7347766,Mexican,Houston
"Iguanas Ranas Cantina
                                    "," 6200 West Broadway Street, Suite 102 77581",5 votes,3.2,Cost for two:$25,-95.3157235,29.5589531,Mexican,Houston
"Taqueria Jalisco
                                    "," 1108 N Loop 336 W, Conroe 77303",7 votes,3.2,Cost for two:$25,-95.4722517,30.3357248,Mexican,Houston
"Pueblo Viejo
                                    "," 8408 Katy Fwy., Houston 77024",10 votes,3.3,Cost for two:$25,-95.4926106,29.7853358,Mexican,Houston
"Horno Monterrey Bakery
                                    "," 7110 Louetta Road, Spring 77379",7 votes,3.6,Cost for two:$25,-95.5212561,30.022938,Mexican,Houston
"Nopalera Grill
                                    "," 1736 Texas Ave, Texas City 77590",2 votes,3.6,Cost for two:$25,-94.9210162,29.3842812,Mexican,Houston
"Mi Casa De Sabor Bar & Grill
                                    ", 8232 Long Point Road 77055,3 votes,3.1,Cost for two:$75,-95.4933685,29.8032703,Mexican,Houston
"Ajua Mexican Cuisine
                                    "," 9537 Hwy 146, Dayton 77535",4 votes,3,Cost for two:$25,-94.849996,30.609323,Mexican,Houston
